AthleteCode,PrintName,FamilyName,GivenName,GenderCode,OrganisationCode,DisciplineCode,EventEntry,event_count,Id_x,CHI_Description_x,Id_y,CHI_Description_y
SWMMS0110433,黄朝升,黄朝升,,1,HUN,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM200MIM------------------------'}, {'EventCode': 'SWMM400MIM------------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}]",5,SWM,游泳,HUN,湖南
SWMMS0110435,黄星淳,黄星淳,,1,HUN,SWM,"[{'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}]",2,SWM,游泳,HUN,湖南
SWMMS0110437,黄志伟,黄志伟,,1,HUN,SWM,"[{'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM200MIM------------------------'}, {'EventCode': 'SWMM400MIM------------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",6,SWM,游泳,HUN,湖南
SWMMS0110453,罗翔,罗翔,,1,HUN,SWM,"[{'EventCode': 'SWMM200MIM------------------------'}, {'EventCode': 'SWMM100MFR------------------------'}, {'EventCode': 'SWMM100MBA------------------------'}]",3,SWM,游泳,HUN,湖南
SWMMS0110467,田青铭,田青铭,,1,HUN,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM200MBF------------------------'}]",2,SWM,游泳,HUN,湖南
SWMMS0110470,王柯成,王柯成,,1,HUN,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM400MFR------------------------'}, {'EventCode': 'SWMM800MFR------------------------'}]",6,SWM,游泳,HUN,湖南
SWMMS0110475,王泽奇,王泽奇,,1,HUN,SWM,[{'EventCode': 'SWMM400MIM------------------------'}],1,SWM,游泳,HUN,湖南
SWMMS0110478,夏英健,夏英健,,1,HUN,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}]",4,SWM,游泳,HUN,湖南
SWMMS0110485,虞鹏霏,虞鹏霏,,1,HUN,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM400MIM------------------------'}]",2,SWM,游泳,HUN,湖南
SWMMS0110493,宗志骁,宗志骁,,1,HUN,SWM,"[{'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM800MFR------------------------'}]",2,SWM,游泳,HUN,湖南
SWMMS0119048,陈俊儿,陈俊儿,,1,GUD,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}]",4,SWM,游泳,GUD,广东
SWMMS0119087,邓子淇,邓子淇,,1,GUD,SWM,"[{'EventCode': 'SWMM200MIM------------------------'}, {'EventCode': 'SWMM400MIM------------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}]",3,SWM,游泳,GUD,广东
SWMMS0119107,龚子南,龚子南,,1,QTX,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",2,SWM,游泳,QTX,前卫体协
SWMMS0119115,郭家贺,郭家贺,,1,GUD,SWM,[{'EventCode': 'SWMM200MBR------------------------'}],1,SWM,游泳,GUD,广东
SWMMS0119123,何健彬,何健彬,,1,GUD,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}]",3,SWM,游泳,GUD,广东
SWMMS0119145,黄弘毅,黄弘毅,,1,GUD,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",4,SWM,游泳,GUD,广东
SWMMS0119151,黄俊毅,黄俊毅,,1,GUD,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}]",3,SWM,游泳,GUD,广东
SWMMS0119152,黄首群,黄首群,,1,GUD,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM100MFR------------------------'}]",2,SWM,游泳,GUD,广东
SWMMS0119170,赖炽权,赖炽权,,1,GUD,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM200MBF------------------------'}]",2,SWM,游泳,GUD,广东
SWMMS0119238,梁梓勇,梁梓勇,,1,GUD,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}, {'EventCode': 'SWMM200MFR------------------------'}]",5,SWM,游泳,GUD,广东
SWMMS0119244,林家鹏,林家鹏,,1,GUD,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}]",4,SWM,游泳,GUD,广东
SWMMS0119248,林涛,林涛,,1,GUD,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}, {'EventCode': 'SWMX4X100MMD----------------------'}, {'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",6,SWM,游泳,GUD,广东
SWMMS0119260,刘家杰,刘家杰,,1,GUD,SWM,[{'EventCode': 'SWMM50MFR-------------------------'}],1,SWM,游泳,GUD,广东
SWMMS0119285,柳鲁明,柳鲁明,,1,GUD,SWM,"[{'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM200MIM------------------------'}, {'EventCode': 'SWMM400MIM------------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM200MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",6,SWM,游泳,GUD,广东
SWMMS0119302,罗敏熙,罗敏熙,,1,GUD,SWM,"[{'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM200MFR------------------------'}, {'EventCode': 'SWMM400MFR------------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",6,SWM,游泳,GUD,广东
SWMMS0119316,麦琨豪,麦琨豪,,1,GUD,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM100MBA------------------------'}]",3,SWM,游泳,GUD,广东
SWMMS0119336,邱天,邱天,,1,GUD,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",3,SWM,游泳,GUD,广东
SWMMS0119343,阮尹恒,阮尹恒,,1,GUD,SWM,[{'EventCode': 'SWMM200MBR------------------------'}],1,SWM,游泳,GUD,广东
SWMMS0119345,尚峰,尚峰,,1,GUD,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM200MBF------------------------'}]",2,SWM,游泳,GUD,广东
SWMMS0119351,石寨,石寨,,1,GUD,SWM,"[{'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",2,SWM,游泳,GUD,广东
SWMMS0119355,宋长昊,宋长昊,,1,GUD,SWM,"[{'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",2,SWM,游泳,GUD,广东
SWMMS0119360,孙陈伟,孙陈伟,,1,GUD,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",2,SWM,游泳,GUD,广东
SWMMS0119364,孙一凡,孙一凡,,1,GUD,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM100MFR------------------------'}]",2,SWM,游泳,GUD,广东
SWMMS0119374,陶冠男,陶冠男,,1,GUD,SWM,"[{'EventCode': 'SWMM400MIM------------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",6,SWM,游泳,GUD,广东
SWMMS0119398,王小川,王小川,,1,GUD,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}]",5,SWM,游泳,GUD,广东
SWMMS0119449,许哲嘉,许哲嘉,,1,GUD,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMX4X100MMD----------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",4,SWM,游泳,GUD,广东
SWMMS0119480,殷世豪,殷世豪,,1,GUD,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",3,SWM,游泳,GUD,广东
SWMMS0119489,余贺新,余贺新,,1,GUD,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}]",4,SWM,游泳,GUD,广东
SWMMS0119494,俞迎飚,俞迎飚,,1,GUD,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM400MFR------------------------'}]",4,SWM,游泳,GUD,广东
SWMMS0119509,张宸瑞,张宸瑞,,1,GUD,SWM,"[{'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}, {'EventCode': 'SWMM200MFR------------------------'}, {'EventCode': 'SWMM800MFR------------------------'}]",4,SWM,游泳,GUD,广东
SWMMS0119526,张熙哲,张熙哲,,1,GUD,SWM,[{'EventCode': 'SWMM200MBR------------------------'}],1,SWM,游泳,GUD,广东
SWMMS0119554,郑铭利,郑铭利,,1,GUD,SWM,[{'EventCode': 'SWMM100MBA------------------------'}],1,SWM,游泳,GUD,广东
SWMMS0119562,仲凯文,仲凯文,,1,GUD,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",2,SWM,游泳,GUD,广东
SWMMS0119565,周瀚韬,周瀚韬,,1,GUD,SWM,[{'EventCode': 'SWMM200MBF------------------------'}],1,SWM,游泳,GUD,广东
SWMMS0126850,陈宸,陈宸,,1,GUX,SWM,"[{'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",3,SWM,游泳,GUX,广西
SWMMS0126855,陈展宁,陈展宁,,1,GUX,SWM,"[{'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",4,SWM,游泳,GUX,广西
SWMMS0126864,何继豪,何继豪,,1,GUX,SWM,"[{'EventCode': 'SWMM200MIM------------------------'}, {'EventCode': 'SWMM400MIM------------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}]",3,SWM,游泳,GUX,广西
SWMMS0126883,梁浩楠,梁浩楠,,1,GUX,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}]",2,SWM,游泳,GUX,广西
SWMMS0126884,梁景威,梁景威,,1,GUX,SWM,[{'EventCode': 'SWMM50MFR-------------------------'}],1,SWM,游泳,GUX,广西
SWMMS0126888,廖家良,廖家良,,1,GUX,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}]",2,SWM,游泳,GUX,广西
SWMMS0126914,莫匡凯,莫匡凯,,1,GUX,SWM,[{'EventCode': 'SWMM200MBR------------------------'}],1,SWM,游泳,GUX,广西
SWMMS0126922,裴梓策,裴梓策,,1,GUX,SWM,"[{'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM800MFR------------------------'}]",3,SWM,游泳,GUX,广西
SWMMS0126930,孙宇,孙宇,,1,GUX,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}, {'EventCode': 'SWMX4X100MMD----------------------'}]",5,SWM,游泳,GUX,广西
SWMMS0126940,唐振翔,唐振翔,,1,GUX,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMX4X100MMD----------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",3,SWM,游泳,GUX,广西
SWMMS0126968,赵先建,赵先建,,1,GUX,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}]",2,SWM,游泳,GUX,广西
SWMMS0130131,苗钰炜,苗钰炜,,1,GR,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM200MIM------------------------'}, {'EventCode': 'SWMM400MIM------------------------'}]",4,SWM,游泳,GR,个人
SWMMS0130133,王纬杭,王纬杭,,1,CHQ,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM400MIM------------------------'}]",2,SWM,游泳,CHQ,重庆
SWMMS0130135,杨子泰,杨子泰,,1,CHQ,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM100MFR------------------------'}, {'EventCode': 'SWMM200MFR------------------------'}, {'EventCode': 'SWMM400MFR------------------------'}]",4,SWM,游泳,CHQ,重庆
SWMMS0132052,陈彦卓,陈彦卓,,1,SIC,SWM,"[{'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",2,SWM,游泳,SIC,四川
SWMMS0132056,高添,高添,,1,SIC,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}]",2,SWM,游泳,SIC,四川
SWMMS0132058,何俊杰,何俊杰,,1,SIC,SWM,"[{'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMX4X100MMD----------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",3,SWM,游泳,SIC,四川
SWMMS0132059,何奕君,何奕君,,1,SIC,SWM,"[{'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMX4X100MMD----------------------'}, {'EventCode': 'SWMM800MFR------------------------'}]",4,SWM,游泳,SIC,四川
SWMMS0132063,金沿,金沿,,1,SIC,SWM,"[{'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",3,SWM,游泳,SIC,四川
SWMMS0132066,邵辰浩,邵辰浩,,1,SIC,SWM,[{'EventCode': 'SWMM400MIM------------------------'}],1,SWM,游泳,SIC,四川
SWMMS0132067,王宜斐,王宜斐,,1,GR,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM200MBF------------------------'}]",2,SWM,游泳,GR,个人
SWMMS0132070,叶欣苇,叶欣苇,,1,SIC,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}]",3,SWM,游泳,SIC,四川
SWMMS0137408,董晋良,董晋良,,1,GUZ,SWM,"[{'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM800MFR------------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",3,SWM,游泳,GUZ,贵州
SWMMS0137410,韩育翰,韩育翰,,1,GUZ,SWM,"[{'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM800MFR------------------------'}]",2,SWM,游泳,GUZ,贵州
SWMMS0137411,黄博,黄博,,1,GUZ,SWM,"[{'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM100MBA------------------------'}]",2,SWM,游泳,GUZ,贵州
SWMMS0137424,慕晨印,慕晨印,,1,GUZ,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM400MIM------------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}]",4,SWM,游泳,GUZ,贵州
SWMMS0137429,乔荣欣,乔荣欣,,1,GUZ,SWM,"[{'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM200MFR------------------------'}, {'EventCode': 'SWMM400MFR------------------------'}]",6,SWM,游泳,GUZ,贵州
SWMMS0137430,饶浩然,饶浩然,,1,GUZ,SWM,"[{'EventCode': 'SWMM100MBF------------------------'}, {'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}]",5,SWM,游泳,GUZ,贵州
SWMMS0137439,王释壕,王释壕,,1,GUZ,SWM,"[{'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",3,SWM,游泳,GUZ,贵州
SWMMS0139968,侯雨辰,侯雨辰,,1,YUN,SWM,"[{'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",2,SWM,游泳,YUN,云南
SWMMS0139981,张发荣,张发荣,,1,YUN,SWM,[{'EventCode': 'SWMM50MFR-------------------------'}],1,SWM,游泳,YUN,云南
SWMMS0139984,赵骏,赵骏,,1,YUN,SWM,"[{'EventCode': 'SWMM100MFR------------------------'}, {'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",3,SWM,游泳,YUN,云南
SWMMS0144455,班豹,班豹,,1,SAX,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}]",2,SWM,游泳,SAX,陕西
SWMMS0144459,傅子航,傅子航,,1,SAX,SWM,"[{'EventCode': 'SWMM200MIM------------------------'}, {'EventCode': 'SWMM400MIM------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",5,SWM,游泳,SAX,陕西
SWMMS0144463,姜呈霖,姜呈霖,,1,SAX,SWM,"[{'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",5,SWM,游泳,SAX,陕西
SWMMS0144467,李旺,李旺,,1,SAX,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMX4X100MMD----------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",5,SWM,游泳,SAX,陕西
SWMMS0144468,刘鲁鹏,刘鲁鹏,,1,SAX,SWM,"[{'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",3,SWM,游泳,SAX,陕西
SWMMS0144475,王翊航,王翊航,,1,SAX,SWM,"[{'EventCode': 'SWMM200MBF------------------------'}, {'EventCode': 'SWMM4X200MFR----------------------'}, {'EventCode': 'SWMM4X100MMD----------------------'}, {'EventCode': 'SWMM4X200MMD----------------------'}, {'EventCode': 'SWMX4X100MMD----------------------'}]",5,SWM,游泳,SAX,陕西
SWMMS0144480,张甲寅,张甲寅,,1,SAX,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM100MFR------------------------'}]",3,SWM,游泳,SAX,陕西
SWMMS0144484,赵捃博航,赵捃博航,,1,SAX,SWM,"[{'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",2,SWM,游泳,SAX,陕西
SWMMS0144485,周熙丁,周熙丁,,1,SAX,SWM,"[{'EventCode': 'SWMM4X100MFR----------------------'}, {'EventCode': 'SWMM1500MFR-----------------------'}]",2,SWM,游泳,SAX,陕西
SWMMS0149413,丁峰,丁峰,,1,NIX,SWM,[{'EventCode': 'SWMM200MBF------------------------'}],1,SWM,游泳,NIX,宁夏
SWMMS0149436,周智杰,周智杰,,1,NIX,SWM,[{'EventCode': 'SWMM200MBR------------------------'}],1,SWM,游泳,NIX,宁夏
SWMMS0154358,周文顥,周文顥,,1,AOM,SWM,"[{'EventCode': 'SWMM50MFR-------------------------'}, {'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",3,SWM,游泳,AOM,澳门
SWMMS0154359,賽翱徽,賽翱徽,,1,AOM,SWM,"[{'EventCode': 'SWMM200MBR------------------------'}, {'EventCode': 'SWMM100MBR------------------------'}]",2,SWM,游泳,AOM,澳门
SWMMS0154360,李殷齊,李殷齊,,1,AOM,SWM,"[{'EventCode': 'SWMM100MBA------------------------'}, {'EventCode': 'SWMM200MBA------------------------'}]",2,SWM,游泳,AOM,澳门
SWMMS0159152,林思庄,林思庄,,1,AOM,SWM,"[{'EventCode': 'SWMM100MFR------------------------'}, {'EventCode': 'SWMM200MFR------------------------'}]",2,SWM,游泳,AOM,澳门
SWMWS0001369,曹新懿,曹新懿,,2,BEJ,SWM,"[{'EventCode': 'SWMW100MBR------------------------'}, {'EventCode': 'SWMW200MBR------------------------'}, {'EventCode': 'SWMW4X200MMD----------------------'}]",3,SWM,游泳,BEJ,北京
SWMWS0001370,曹越涵,曹越涵,,2,BEJ,SWM,"[{'EventCode': 'SWMW100MBA------------------------'}, {'EventCode': 'SWMW4X100MMD----------------------'}, {'EventCode': 'SWMW4X200MMD----------------------'}]",3,SWM,游泳,BEJ,北京
SWMWS0001371,陈若涵,陈若涵,,2,BEJ,SWM,"[{'EventCode': 'SWMW50MFR-------------------------'}, {'EventCode': 'SWMW100MFR------------------------'}, {'EventCode': 'SWMW4X100MFR----------------------'}, {'EventCode': 'SWMW4X200MFR----------------------'}, {'EventCode': 'SWMW4X100MMD----------------------'}, {'EventCode': 'SWMX4X100MMD----------------------'}]",6,SWM,游泳,BEJ,北京
SWMWS0001378,韩婷如,韩婷如,,2,BEJ,SWM,"[{'EventCode': 'SWMW50MFR-------------------------'}, {'EventCode': 'SWMW100MFR------------------------'}, {'EventCode': 'SWMW100MBF------------------------'}, {'EventCode': 'SWMW4X100MFR----------------------'}]",4,SWM,游泳,BEJ,北京
SWMWS0001400,潘爱欣,潘爱欣,,2,BEJ,SWM,"[{'EventCode': 'SWMW200MIM------------------------'}, {'EventCode': 'SWMW4X100MFR----------------------'}, {'EventCode': 'SWMW4X200MFR----------------------'}, {'EventCode': 'SWMW4X200MMD----------------------'}]",4,SWM,游泳,BEJ,北京
SWMWS0001410,王思琪,王思琪,,2,BEJ,SWM,"[{'EventCode': 'SWMW100MBF------------------------'}, {'EventCode': 'SWMW200MBF------------------------'}, {'EventCode': 'SWMW4X100MFR----------------------'}, {'EventCode': 'SWMW4X200MFR----------------------'}, {'EventCode': 'SWMW4X100MMD----------------------'}, {'EventCode': 'SWMX4X100MMD----------------------'}]",6,SWM,游泳,BEJ,北京
SWMWS0001415,于静瑶,于静瑶,,2,BEJ,SWM,"[{'EventCode': 'SWMW100MBR------------------------'}, {'EventCode': 'SWMW200MBR------------------------'}, {'EventCode': 'SWMW4X100MMD----------------------'}]",3,SWM,游泳,BEJ,北京
SWMWS0001417,张家齐,张家齐,,2,BEJ,SWM,"[{'EventCode': 'SWMW1500MFR-----------------------'}, {'EventCode': 'SWMW4X200MFR----------------------'}, {'EventCode': 'SWMW4X200MMD----------------------'}]",3,SWM,游泳,BEJ,北京
SWMWS0003398,董洁,董洁,,2,TIJ,SWM,"[{'EventCode': 'SWMW50MFR-------------------------'}, {'EventCode': 'SWMW200MFR------------------------'}, {'EventCode': 'SWMW400MFR------------------------'}, {'EventCode': 'SWMW4X200MFR----------------------'}]",4,SWM,游泳,TIJ,天津
SWMWS0003404,刘栎霖,刘栎霖,,2,TIJ,SWM,"[{'EventCode': 'SWMW1500MFR-----------------------'}, {'EventCode': 'SWMW200MIM------------------------'}, {'EventCode': 'SWMW400MIM------------------------'}]",3,SWM,游泳,TIJ,天津
SWMWS0003412,孙美惠,孙美惠,,2,TIJ,SWM,"[{'EventCode': 'SWMW200MBF------------------------'}, {'EventCode': 'SWMW200MIM------------------------'}, {'EventCode': 'SWMW400MIM------------------------'}]",3,SWM,游泳,TIJ,天津
SWMWS0003417,王玥鑫,王玥鑫,,2,TIJ,SWM,[{'EventCode': 'SWMW1500MFR-----------------------'}],1,SWM,游泳,TIJ,天津
SWMWS0003420,吴姝彤,吴姝彤,,2,TIJ,SWM,[{'EventCode': 'SWMW1500MFR-----------------------'}],1,SWM,游泳,TIJ,天津
SWMWS0003427,郑木岩,郑木岩,,2,TIJ,SWM,"[{'EventCode': 'SWMW100MBR------------------------'}, {'EventCode': 'SWMW200MBR------------------------'}]",2,SWM,游泳,TIJ,天津
SWMWS0010606,高唯中,高唯中,,2,HEB,SWM,"[{'EventCode': 'SWMW800MFR------------------------'}, {'EventCode': 'SWMW1500MFR-----------------------'}, {'EventCode': 'SWMW200MBF------------------------'}, {'EventCode': 'SWMW400MIM------------------------'}]",4,SWM,游泳,HEB,河北
SWMWS0010607,郭芮宁,郭芮宁,,2,HEB,SWM,"[{'EventCode': 'SWMW200MFR------------------------'}, {'EventCode': 'SWMW400MFR------------------------'}, {'EventCode': 'SWMW800MFR------------------------'}, {'EventCode': 'SWMW1500MFR-----------------------'}, {'EventCode': 'SWMW4X200MFR----------------------'}]",5,SWM,游泳,HEB,河北
SWMWS0010611,李冰洁,李冰洁,,2,HEB,SWM,"[{'EventCode': 'SWMW200MFR------------------------'}, {'EventCode': 'SWMW400MFR------------------------'}, {'EventCode': 'SWMW800MFR------------------------'}, {'EventCode': 'SWMW1500MFR-----------------------'}, {'EventCode': 'SWMW4X100MFR----------------------'}, {'EventCode': 'SWMW4X200MFR----------------------'}]",6,SWM,游泳,HEB,河北
